p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,keyword,type,brand,X_type,X_name,capacitysource
美的（Midea）2匹 智能除湿 静音 圆柱柜式定速冷暖空调 KFR-51LW/DY-YA400(D3),美的空调自营旗舰店,4884790,5499.00,5399.00,18000,98,18000,90,100,服务很好 送货快 安装速度 机器漂亮 空调质量好 制冷效果好 声音小 制冷速度快 制冷比较快 外机噪音小,美的（Midea） 美的KFR-51LW/DY-YA400(D3) 4884790 47.0kg 中国大陆 定频 圆柱式空调，静音空调 冷暖空调 2匹 三级能效 20-30㎡ 立柜式空调,美的,定频,美的KFR-51LW/DY-YA400(D3),
志高（CHIGO）3匹 定速 冷暖 圆柱柜机 静音 立方送风 触摸控制（NEW-LD24C1H3）,志高空调自营旗舰店,1888312,8999.00,6349.00,2400,97,2300,20,40,服务很好 机器漂亮 送货快 安装速度 空调质量好 制冷效果好 制冷比较快 制冷速度快 声音小 制冷制热快,志高（CHIGO） 志高NEW-LD24C1H3 1888312 51.0kg 中国大陆 定频 冷暖空调 圆柱式空调，静音空调，自动清洁 金色 3匹 三级能效 40㎡以上 立柜式空调,志高,定频,志高NEW-LD24C1H3,
美的（Midea）3匹 二级能效 变频冷暖 FUN星 智能WiFi 圆柱柜机 KFR-72LW/WYEA2@,美的空调自营旗舰店,5489136,9199.00,8899.00,400,100,400,1,1,服务很好 安装速度 送货快 机器漂亮 空调质量好 外机噪音小 制热效果好 声音小 制冷制热快 变频省电,美的（Midea） 美的KFR-72LW/WYEA2@ 5489136 33.0kg 中国大陆 变频 冷暖空调 0元安装，圆柱式空调，高能效空调，智能空调，变频空调，静音空调，自动清洁 白色 3匹 二级能效 30-40㎡ 立柜式空调,美的,变频,美的KFR-72LW/WYEA2@,
美的（Midea）3匹 M刻 超一级能效 变频冷暖 智能WiFi圆柱柜机 KFR-72LW/BP3DN8Y-YB300(B1),美的空调自营旗舰店,5264254,11599.00,10100.00,800,98,800,5,6,安装速度 机器漂亮 服务很好 变频省电 送货快 空调质量好 制冷速度快 制冷效果好 制冷比较快 声音小,美的（Midea） 美的KFR-72LW/BP3DN8Y-YB300(B1) 5264254 45.0kg 中国大陆 变频 冷暖空调 0元安装，圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 金色 3匹 一级能效 30-40㎡，40㎡以上 立柜式空调,美的,变频,美的KFR-72LW/BP3DN8Y-YB300(B1),
格力 （GREE） 3匹 臻净爽 一级能效 变频 智能微联 冷暖 圆柱 空调柜机KFR-72LW/NhIbB1W,格力官方旗舰店,4939815,11599.00,11299.00,800,98,800,5,9,机器漂亮 安装速度 服务很好 送货快 变频省电 空调质量好 外机噪音小 声音小 制冷制热快 制热效果好,格力（GREE） 格力KFR-72LW/NhIbB1W 4939815 42.0kg 中国大陆 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 其他 3匹 一级能效 30-40㎡ 立柜式空调,格力,变频,格力KFR-72LW/NhIbB1W,
海尔（Haier）2匹 定频 冷暖 二级能效 APP智能操控 智能 圆柱空调柜机 KFR-50LW/10UAC12U1（帝樽）,海尔官方旗舰店,2747175,6799.00,6599.00,12000,97,11000,100,200,机器漂亮 服务很好 送货快 安装速度 空调质量好 声音小 制冷效果好 制冷比较快 外机噪音小 制冷速度快,海尔（Haier） 海尔KFR-50LW/10UAC12U1 2747175 42.0kg 中国大陆 定频 冷暖空调 圆柱式空调，高能效空调，智能空调，静音空调 白色 2匹 二级能效 20-30㎡ 立柜式空调,海尔,定频,海尔KFR-50LW/10UAC12U1,
格力（GREE）3匹 一级能效变频冷暖 i尚wifi （白色）立柜式空调 KFR-72LW/(72555)FNhAa-A1,格力官方旗舰店,4033414,12999.00,10399.00,1300,97,1300,10,20,安装速度 服务很好 机器漂亮 送货快 声音小 空调质量好 变频省电 制冷速度快 外机噪音小 制冷比较快,格力（GREE） 格力KFR-72LW/72555FNhAa-A1 4033414 65.0kg 中国大陆 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频 白色 3匹 一级能效 30-40㎡ 立柜式空调,格力,变频,格力KFR-72LW/72555FNhAa-A1,
TCL 大2匹 二级能效 智能 定速 冷暖 圆柱柜式 空调柜机（KFRd-51LW/DY12）,TCL空调自营旗舰店,1329006,6699.00,4499.00,11000,97,10000,100,100,服务很好 安装速度 送货快 机器漂亮 空调质量好 制冷效果好 制冷速度快 声音小 制冷比较快 外机噪音小,TCL TCLKFRd-51LW/DY12 1329006 43.0kg 中国大陆 定频 冷暖空调 圆柱式空调，高能效空调，智能空调，静音空调，自动清洁 金色 2匹 二级能效 20-30㎡ 立柜式空调,TCL,定频,TCLKFRd-51LW/DY12,
海尔（Haier）3匹 变频 冷暖 二级能效 自清洁 圆柱空调柜机 KFR-72LW/09UCP22AU1,海尔官方旗舰店,2820782,8999.00,8899.00,29000,97,28000,300,600,服务很好 机器漂亮 送货快 安装速度 声音小 空调质量好 变频省电 外机噪音小 制冷速度快 制冷效果好,海尔（Haier） 海尔KFR-72LW/09UCP22AU1 2820782 42.0kg 中国大陆 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，自动清洁 白色 3匹 二级能效 30-40㎡，40㎡以上 立柜式空调,海尔,变频,海尔KFR-72LW/09UCP22AU1,
海尔KFR-72LW/12MAC12U1套机,海尔官方旗舰店,4744182,8399.00,6299.00,500,98,500,4,7,服务很好 送货快 机器漂亮 制冷速度快 制冷效果好 安装速度 空调质量好 声音小 外机噪音小 变频省电,海尔（Haier） 海尔KFR-72LW/12MAC12U1套机 4744182 43.0kg 中国大陆 定频 冷暖空调 圆柱式空调，高能效空调，智能空调，自动清洁 白色 3匹 二级能效 30-40㎡ 立柜式空调,海尔,定频,海尔KFR-72LW/12MAC12U1套机,
